
Number of training patterns: 800

Initial weights : w5 =   9.5799 w4 =   6.6507 w3 =   2.8357 w2 =   6.3874 w1 =   5.6378 w0 =   5.2085 
Training weights: w5 =   0.0056 w4 =   0.0191 w3 =   0.0029 w2 =   0.0027 w1 =   0.0053 w0 =  -0.2663 Iteration 2181: Error Rate = 7.62%
Training weights: w5 =   0.0059 w4 =   0.0188 w3 =   0.0033 w2 =   0.0018 w1 =   0.0065 w0 =  -0.2664 Iteration 2182: Error Rate = 5.12%
Training weights: w5 =   0.0063 w4 =   0.0189 w3 =   0.0034 w2 =   0.0018 w1 =   0.0053 w0 =  -0.2666 Iteration 2183: Error Rate = 9.25%
Training weights: w5 =   0.0068 w4 =   0.0185 w3 =   0.0031 w2 =   0.0013 w1 =   0.0047 w0 =  -0.2667 Iteration 2184: Error Rate = 3.62%
Training weights: w5 =   0.0067 w4 =   0.0175 w3 =   0.0028 w2 =   0.0021 w1 =   0.0062 w0 =  -0.2668 Iteration 2185: Error Rate = 3.12%
Training weights: w5 =   0.0068 w4 =   0.0179 w3 =   0.0035 w2 =   0.0021 w1 =   0.0056 w0 =  -0.2669 Iteration 2186: Error Rate = 5.88%
Training weights: w5 =   0.0060 w4 =   0.0194 w3 =   0.0037 w2 =   0.0023 w1 =   0.0059 w0 =  -0.2669 Iteration 2187: Error Rate = 4.75%
Training weights: w5 =   0.0058 w4 =   0.0187 w3 =   0.0023 w2 =   0.0015 w1 =   0.0064 w0 =  -0.2671 Iteration 2188: Error Rate = 6.75%
Training weights: w5 =   0.0061 w4 =   0.0194 w3 =   0.0040 w2 =   0.0009 w1 =   0.0055 w0 =  -0.2672 Iteration 2189: Error Rate = 6.88%
Training weights: w5 =   0.0054 w4 =   0.0192 w3 =   0.0035 w2 =   0.0017 w1 =   0.0059 w0 =  -0.2673 Iteration 2190: Error Rate = 5.38%
Training weights: w5 =   0.0070 w4 =   0.0190 w3 =   0.0023 w2 =   0.0013 w1 =   0.0061 w0 =  -0.2674 Iteration 2191: Error Rate = 6.38%
Training weights: w5 =   0.0060 w4 =   0.0184 w3 =   0.0026 w2 =   0.0013 w1 =   0.0050 w0 =  -0.2676 Iteration 2192: Error Rate = 5.00%
Training weights: w5 =   0.0061 w4 =   0.0184 w3 =   0.0018 w2 =   0.0016 w1 =   0.0063 w0 =  -0.2677 Iteration 2193: Error Rate = 6.62%
Training weights: w5 =   0.0065 w4 =   0.0186 w3 =   0.0026 w2 =   0.0024 w1 =   0.0061 w0 =  -0.2678 Iteration 2194: Error Rate = 6.38%
Training weights: w5 =   0.0063 w4 =   0.0185 w3 =   0.0034 w2 =   0.0017 w1 =   0.0058 w0 =  -0.2679 Iteration 2195: Error Rate = 4.62%
Training weights: w5 =   0.0070 w4 =   0.0185 w3 =   0.0031 w2 =   0.0024 w1 =   0.0054 w0 =  -0.2679 Iteration 2196: Error Rate = 0.75%
Training weights: w5 =   0.0071 w4 =   0.0186 w3 =   0.0029 w2 =   0.0011 w1 =   0.0066 w0 =  -0.2680 Iteration 2197: Error Rate = 5.88%
Training weights: w5 =   0.0062 w4 =   0.0185 w3 =   0.0032 w2 =   0.0021 w1 =   0.0062 w0 =  -0.2681 Iteration 2198: Error Rate = 3.88%
Training weights: w5 =   0.0070 w4 =   0.0180 w3 =   0.0021 w2 =   0.0013 w1 =   0.0073 w0 =  -0.2682 Iteration 2199: Error Rate = 4.62%
Training weights: w5 =   0.0053 w4 =   0.0178 w3 =   0.0026 w2 =   0.0013 w1 =   0.0059 w0 =  -0.2684 Iteration 2200: Error Rate = 6.00%
Training weights: w5 =   0.0066 w4 =   0.0196 w3 =   0.0029 w2 =   0.0017 w1 =   0.0070 w0 =  -0.2684 Iteration 2201: Error Rate = 7.50%
Training weights: w5 =   0.0047 w4 =   0.0198 w3 =   0.0032 w2 =   0.0006 w1 =   0.0064 w0 =  -0.2686 Iteration 2202: Error Rate = 6.75%
Training weights: w5 =   0.0067 w4 =   0.0194 w3 =   0.0025 w2 =   0.0017 w1 =   0.0065 w0 =  -0.2687 Iteration 2203: Error Rate = 6.38%
Training weights: w5 =   0.0070 w4 =   0.0200 w3 =   0.0038 w2 =   0.0016 w1 =   0.0057 w0 =  -0.2688 Iteration 2204: Error Rate = 6.62%
Training weights: w5 =   0.0058 w4 =   0.0191 w3 =   0.0034 w2 =   0.0008 w1 =   0.0067 w0 =  -0.2690 Iteration 2205: Error Rate = 6.00%
Training weights: w5 =   0.0070 w4 =   0.0193 w3 =   0.0030 w2 =   0.0008 w1 =   0.0066 w0 =  -0.2691 Iteration 2206: Error Rate = 6.12%
Training weights: w5 =   0.0058 w4 =   0.0191 w3 =   0.0030 w2 =   0.0016 w1 =   0.0058 w0 =  -0.2693 Iteration 2207: Error Rate = 7.25%
Training weights: w5 =   0.0057 w4 =   0.0196 w3 =   0.0031 w2 =   0.0023 w1 =   0.0063 w0 =  -0.2693 Iteration 2208: Error Rate = 2.75%
Training weights: w5 =   0.0068 w4 =   0.0191 w3 =   0.0030 w2 =   0.0007 w1 =   0.0066 w0 =  -0.2695 Iteration 2209: Error Rate = 8.75%
Training weights: w5 =   0.0066 w4 =   0.0185 w3 =   0.0042 w2 =   0.0016 w1 =   0.0066 w0 =  -0.2696 Iteration 2210: Error Rate = 4.88%
Training weights: w5 =   0.0068 w4 =   0.0192 w3 =   0.0027 w2 =   0.0009 w1 =   0.0066 w0 =  -0.2697 Iteration 2211: Error Rate = 5.62%
Training weights: w5 =   0.0066 w4 =   0.0193 w3 =   0.0026 w2 =   0.0018 w1 =   0.0067 w0 =  -0.2698 Iteration 2212: Error Rate = 5.38%
Training weights: w5 =   0.0071 w4 =   0.0186 w3 =   0.0040 w2 =   0.0023 w1 =   0.0074 w0 =  -0.2699 Iteration 2213: Error Rate = 5.88%
Training weights: w5 =   0.0061 w4 =   0.0180 w3 =   0.0030 w2 =   0.0027 w1 =   0.0064 w0 =  -0.2701 Iteration 2214: Error Rate = 4.75%
Training weights: w5 =   0.0063 w4 =   0.0179 w3 =   0.0032 w2 =   0.0030 w1 =   0.0055 w0 =  -0.2702 Iteration 2215: Error Rate = 3.88%
Training weights: w5 =   0.0062 w4 =   0.0180 w3 =   0.0034 w2 =   0.0026 w1 =   0.0051 w0 =  -0.2703 Iteration 2216: Error Rate = 4.88%
Training weights: w5 =   0.0062 w4 =   0.0184 w3 =   0.0028 w2 =   0.0026 w1 =   0.0060 w0 =  -0.2703 Iteration 2217: Error Rate = 2.75%
Training weights: w5 =   0.0063 w4 =   0.0185 w3 =   0.0023 w2 =   0.0019 w1 =   0.0062 w0 =  -0.2704 Iteration 2218: Error Rate = 5.88%
Training weights: w5 =   0.0066 w4 =   0.0182 w3 =   0.0035 w2 =   0.0012 w1 =   0.0070 w0 =  -0.2705 Iteration 2219: Error Rate = 4.88%
Training weights: w5 =   0.0069 w4 =   0.0191 w3 =   0.0035 w2 =   0.0016 w1 =   0.0066 w0 =  -0.2705 Iteration 2220: Error Rate = 2.50%
Training weights: w5 =   0.0064 w4 =   0.0204 w3 =   0.0026 w2 =   0.0014 w1 =   0.0051 w0 =  -0.2706 Iteration 2221: Error Rate = 7.62%
Training weights: w5 =   0.0062 w4 =   0.0192 w3 =   0.0038 w2 =   0.0000 w1 =   0.0070 w0 =  -0.2708 Iteration 2222: Error Rate = 7.00%
Training weights: w5 =   0.0067 w4 =   0.0193 w3 =   0.0037 w2 =   0.0007 w1 =   0.0064 w0 =  -0.2709 Iteration 2223: Error Rate = 5.62%
Training weights: w5 =   0.0065 w4 =   0.0188 w3 =   0.0020 w2 =   0.0010 w1 =   0.0058 w0 =  -0.2711 Iteration 2224: Error Rate = 6.50%
Training weights: w5 =   0.0060 w4 =   0.0185 w3 =   0.0042 w2 =   0.0011 w1 =   0.0065 w0 =  -0.2712 Iteration 2225: Error Rate = 5.88%
Training weights: w5 =   0.0058 w4 =   0.0180 w3 =   0.0030 w2 =   0.0014 w1 =   0.0049 w0 =  -0.2714 Iteration 2226: Error Rate = 5.00%
Training weights: w5 =   0.0061 w4 =   0.0175 w3 =   0.0022 w2 =   0.0022 w1 =   0.0056 w0 =  -0.2715 Iteration 2227: Error Rate = 5.12%
Training weights: w5 =   0.0069 w4 =   0.0188 w3 =   0.0025 w2 =   0.0020 w1 =   0.0059 w0 =  -0.2715 Iteration 2228: Error Rate = 5.25%
Training weights: w5 =   0.0062 w4 =   0.0191 w3 =   0.0036 w2 =   0.0015 w1 =   0.0060 w0 =  -0.2716 Iteration 2229: Error Rate = 5.88%
Training weights: w5 =   0.0070 w4 =   0.0195 w3 =   0.0029 w2 =   0.0012 w1 =   0.0062 w0 =  -0.2717 Iteration 2230: Error Rate = 6.12%
Training weights: w5 =   0.0058 w4 =   0.0200 w3 =   0.0031 w2 =   0.0005 w1 =   0.0063 w0 =  -0.2718 Iteration 2231: Error Rate = 5.62%
Training weights: w5 =   0.0063 w4 =   0.0186 w3 =   0.0022 w2 =   0.0010 w1 =   0.0058 w0 =  -0.2720 Iteration 2232: Error Rate = 5.00%
Training weights: w5 =   0.0068 w4 =   0.0193 w3 =   0.0024 w2 =   0.0014 w1 =   0.0069 w0 =  -0.2720 Iteration 2233: Error Rate = 4.50%
Training weights: w5 =   0.0073 w4 =   0.0191 w3 =   0.0025 w2 =   0.0015 w1 =   0.0063 w0 =  -0.2721 Iteration 2234: Error Rate = 4.38%
Training weights: w5 =   0.0060 w4 =   0.0191 w3 =   0.0033 w2 =   0.0023 w1 =   0.0061 w0 =  -0.2722 Iteration 2235: Error Rate = 3.88%
Training weights: w5 =   0.0061 w4 =   0.0182 w3 =   0.0031 w2 =   0.0029 w1 =   0.0063 w0 =  -0.2723 Iteration 2236: Error Rate = 2.62%
Training weights: w5 =   0.0065 w4 =   0.0178 w3 =   0.0024 w2 =   0.0026 w1 =   0.0073 w0 =  -0.2724 Iteration 2237: Error Rate = 5.12%
Training weights: w5 =   0.0052 w4 =   0.0183 w3 =   0.0037 w2 =   0.0019 w1 =   0.0065 w0 =  -0.2725 Iteration 2238: Error Rate = 5.38%
Training weights: w5 =   0.0064 w4 =   0.0182 w3 =   0.0025 w2 =   0.0030 w1 =   0.0058 w0 =  -0.2726 Iteration 2239: Error Rate = 5.62%
Training weights: w5 =   0.0066 w4 =   0.0188 w3 =   0.0033 w2 =   0.0017 w1 =   0.0060 w0 =  -0.2727 Iteration 2240: Error Rate = 7.38%
Training weights: w5 =   0.0061 w4 =   0.0193 w3 =   0.0031 w2 =   0.0009 w1 =   0.0065 w0 =  -0.2728 Iteration 2241: Error Rate = 5.88%
Training weights: w5 =   0.0064 w4 =   0.0196 w3 =   0.0038 w2 =   0.0012 w1 =   0.0071 w0 =  -0.2729 Iteration 2242: Error Rate = 6.88%
Training weights: w5 =   0.0066 w4 =   0.0204 w3 =   0.0030 w2 =   0.0024 w1 =   0.0056 w0 =  -0.2730 Iteration 2243: Error Rate = 6.62%
Training weights: w5 =   0.0055 w4 =   0.0195 w3 =   0.0033 w2 =   0.0015 w1 =   0.0046 w0 =  -0.2732 Iteration 2244: Error Rate = 4.75%
Training weights: w5 =   0.0063 w4 =   0.0194 w3 =   0.0026 w2 =   0.0026 w1 =   0.0053 w0 =  -0.2733 Iteration 2245: Error Rate = 6.12%
Training weights: w5 =   0.0064 w4 =   0.0205 w3 =   0.0034 w2 =   0.0012 w1 =   0.0072 w0 =  -0.2733 Iteration 2246: Error Rate = 6.00%
Training weights: w5 =   0.0067 w4 =   0.0193 w3 =   0.0037 w2 =   0.0010 w1 =   0.0067 w0 =  -0.2735 Iteration 2247: Error Rate = 6.25%
Training weights: w5 =   0.0071 w4 =   0.0191 w3 =   0.0032 w2 =   0.0019 w1 =   0.0048 w0 =  -0.2737 Iteration 2248: Error Rate = 7.50%
Training weights: w5 =   0.0060 w4 =   0.0186 w3 =   0.0026 w2 =   0.0025 w1 =   0.0060 w0 =  -0.2738 Iteration 2249: Error Rate = 4.38%
Training weights: w5 =   0.0062 w4 =   0.0191 w3 =   0.0031 w2 =   0.0019 w1 =   0.0054 w0 =  -0.2739 Iteration 2250: Error Rate = 5.88%
Training weights: w5 =   0.0058 w4 =   0.0196 w3 =   0.0037 w2 =   0.0017 w1 =   0.0058 w0 =  -0.2739 Iteration 2251: Error Rate = 2.75%
Training weights: w5 =   0.0062 w4 =   0.0184 w3 =   0.0040 w2 =   0.0018 w1 =   0.0066 w0 =  -0.2741 Iteration 2252: Error Rate = 7.75%
Training weights: w5 =   0.0060 w4 =   0.0191 w3 =   0.0020 w2 =   0.0011 w1 =   0.0062 w0 =  -0.2742 Iteration 2253: Error Rate = 6.12%
Training weights: w5 =   0.0070 w4 =   0.0199 w3 =   0.0027 w2 =   0.0027 w1 =   0.0062 w0 =  -0.2742 Iteration 2254: Error Rate = 6.25%
Training weights: w5 =   0.0056 w4 =   0.0182 w3 =   0.0029 w2 =   0.0012 w1 =   0.0057 w0 =  -0.2745 Iteration 2255: Error Rate = 6.38%
Training weights: w5 =   0.0068 w4 =   0.0188 w3 =   0.0035 w2 =   0.0009 w1 =   0.0057 w0 =  -0.2746 Iteration 2256: Error Rate = 8.38%
Training weights: w5 =   0.0063 w4 =   0.0197 w3 =   0.0025 w2 =   0.0008 w1 =   0.0059 w0 =  -0.2747 Iteration 2257: Error Rate = 6.38%
Training weights: w5 =   0.0071 w4 =   0.0193 w3 =   0.0028 w2 =   0.0016 w1 =   0.0062 w0 =  -0.2748 Iteration 2258: Error Rate = 5.38%
Training weights: w5 =   0.0066 w4 =   0.0192 w3 =   0.0026 w2 =   0.0021 w1 =   0.0060 w0 =  -0.2749 Iteration 2259: Error Rate = 5.38%
Training weights: w5 =   0.0073 w4 =   0.0198 w3 =   0.0018 w2 =   0.0012 w1 =   0.0068 w0 =  -0.2750 Iteration 2260: Error Rate = 8.12%
Training weights: w5 =   0.0060 w4 =   0.0193 w3 =   0.0030 w2 =   0.0025 w1 =   0.0062 w0 =  -0.2752 Iteration 2261: Error Rate = 7.75%
Training weights: w5 =   0.0059 w4 =   0.0192 w3 =   0.0021 w2 =   0.0017 w1 =   0.0053 w0 =  -0.2754 Iteration 2262: Error Rate = 7.75%
Training weights: w5 =   0.0063 w4 =   0.0197 w3 =   0.0029 w2 =   0.0026 w1 =   0.0045 w0 =  -0.2755 Iteration 2263: Error Rate = 6.62%
Training weights: w5 =   0.0068 w4 =   0.0182 w3 =   0.0029 w2 =   0.0011 w1 =   0.0057 w0 =  -0.2757 Iteration 2264: Error Rate = 6.00%
Training weights: w5 =   0.0062 w4 =   0.0207 w3 =   0.0031 w2 =   0.0021 w1 =   0.0061 w0 =  -0.2757 Iteration 2265: Error Rate = 8.25%
Training weights: w5 =   0.0063 w4 =   0.0195 w3 =   0.0015 w2 =   0.0013 w1 =   0.0067 w0 =  -0.2759 Iteration 2266: Error Rate = 6.75%
Training weights: w5 =   0.0067 w4 =   0.0205 w3 =   0.0032 w2 =   0.0020 w1 =   0.0054 w0 =  -0.2759 Iteration 2267: Error Rate = 4.75%
Training weights: w5 =   0.0071 w4 =   0.0193 w3 =   0.0022 w2 =   0.0021 w1 =   0.0062 w0 =  -0.2761 Iteration 2268: Error Rate = 7.00%
Training weights: w5 =   0.0065 w4 =   0.0195 w3 =   0.0033 w2 =   0.0018 w1 =   0.0055 w0 =  -0.2762 Iteration 2269: Error Rate = 5.12%
Training weights: w5 =   0.0070 w4 =   0.0182 w3 =   0.0035 w2 =   0.0021 w1 =   0.0057 w0 =  -0.2764 Iteration 2270: Error Rate = 6.00%
Training weights: w5 =   0.0070 w4 =   0.0193 w3 =   0.0035 w2 =   0.0019 w1 =   0.0061 w0 =  -0.2764 Iteration 2271: Error Rate = 4.25%
Training weights: w5 =   0.0060 w4 =   0.0198 w3 =   0.0029 w2 =   0.0022 w1 =   0.0066 w0 =  -0.2765 Iteration 2272: Error Rate = 6.38%
Training weights: w5 =   0.0065 w4 =   0.0193 w3 =   0.0021 w2 =   0.0015 w1 =   0.0048 w0 =  -0.2767 Iteration 2273: Error Rate = 6.50%
Training weights: w5 =   0.0072 w4 =   0.0194 w3 =   0.0013 w2 =   0.0018 w1 =   0.0061 w0 =  -0.2768 Iteration 2274: Error Rate = 8.38%
Training weights: w5 =   0.0052 w4 =   0.0202 w3 =   0.0027 w2 =   0.0022 w1 =   0.0052 w0 =  -0.2769 Iteration 2275: Error Rate = 6.12%
Training weights: w5 =   0.0061 w4 =   0.0196 w3 =   0.0030 w2 =   0.0026 w1 =   0.0056 w0 =  -0.2770 Iteration 2276: Error Rate = 4.88%
Training weights: w5 =   0.0070 w4 =   0.0205 w3 =   0.0038 w2 =   0.0011 w1 =   0.0056 w0 =  -0.2771 Iteration 2277: Error Rate = 9.12%
Training weights: w5 =   0.0074 w4 =   0.0195 w3 =   0.0044 w2 =   0.0014 w1 =   0.0065 w0 =  -0.2772 Iteration 2278: Error Rate = 4.38%
Training weights: w5 =   0.0079 w4 =   0.0190 w3 =   0.0034 w2 =   0.0012 w1 =   0.0067 w0 =  -0.2773 Iteration 2279: Error Rate = 3.38%
Training weights: w5 =   0.0069 w4 =   0.0207 w3 =   0.0036 w2 =   0.0024 w1 =   0.0061 w0 =  -0.2773 Iteration 2280: Error Rate = 5.50%
Training weights: w5 =   0.0054 w4 =   0.0198 w3 =   0.0031 w2 =   0.0013 w1 =   0.0055 w0 =  -0.2775 Iteration 2281: Error Rate = 3.25%
Training weights: w5 =   0.0064 w4 =   0.0186 w3 =   0.0040 w2 =   0.0024 w1 =   0.0052 w0 =  -0.2776 Iteration 2282: Error Rate = 3.38%
Training weights: w5 =   0.0062 w4 =   0.0187 w3 =   0.0024 w2 =   0.0028 w1 =   0.0066 w0 =  -0.2777 Iteration 2283: Error Rate = 6.12%
Training weights: w5 =   0.0069 w4 =   0.0195 w3 =   0.0029 w2 =   0.0030 w1 =   0.0074 w0 =  -0.2777 Iteration 2284: Error Rate = 5.00%
Training weights: w5 =   0.0065 w4 =   0.0189 w3 =   0.0027 w2 =   0.0014 w1 =   0.0065 w0 =  -0.2779 Iteration 2285: Error Rate = 6.75%
Training weights: w5 =   0.0077 w4 =   0.0198 w3 =   0.0035 w2 =   0.0018 w1 =   0.0067 w0 =  -0.2779 Iteration 2286: Error Rate = 5.50%
Training weights: w5 =   0.0062 w4 =   0.0202 w3 =   0.0018 w2 =  -0.0006 w1 =   0.0061 w0 =  -0.2781 Iteration 2287: Error Rate = 6.50%
Training weights: w5 =   0.0058 w4 =   0.0209 w3 =   0.0043 w2 =   0.0006 w1 =   0.0058 w0 =  -0.2782 Iteration 2288: Error Rate = 7.88%
Training weights: w5 =   0.0069 w4 =   0.0191 w3 =   0.0025 w2 =   0.0013 w1 =   0.0064 w0 =  -0.2784 Iteration 2289: Error Rate = 5.50%
Training weights: w5 =   0.0064 w4 =   0.0193 w3 =   0.0034 w2 =   0.0019 w1 =   0.0066 w0 =  -0.2785 Iteration 2290: Error Rate = 6.38%
Training weights: w5 =   0.0079 w4 =   0.0191 w3 =   0.0028 w2 =   0.0017 w1 =   0.0060 w0 =  -0.2786 Iteration 2291: Error Rate = 5.12%
Training weights: w5 =   0.0071 w4 =   0.0192 w3 =   0.0028 w2 =   0.0014 w1 =   0.0068 w0 =  -0.2787 Iteration 2292: Error Rate = 5.12%
Training weights: w5 =   0.0066 w4 =   0.0204 w3 =   0.0034 w2 =   0.0022 w1 =   0.0074 w0 =  -0.2787 Iteration 2293: Error Rate = 4.75%
Training weights: w5 =   0.0072 w4 =   0.0193 w3 =   0.0035 w2 =   0.0016 w1 =   0.0064 w0 =  -0.2789 Iteration 2294: Error Rate = 5.75%
Training weights: w5 =   0.0063 w4 =   0.0197 w3 =   0.0023 w2 =   0.0027 w1 =   0.0067 w0 =  -0.2790 Iteration 2295: Error Rate = 7.12%
Training weights: w5 =   0.0062 w4 =   0.0188 w3 =   0.0029 w2 =   0.0008 w1 =   0.0062 w0 =  -0.2792 Iteration 2296: Error Rate = 5.75%
Training weights: w5 =   0.0069 w4 =   0.0193 w3 =   0.0040 w2 =   0.0015 w1 =   0.0056 w0 =  -0.2793 Iteration 2297: Error Rate = 7.12%
Training weights: w5 =   0.0067 w4 =   0.0192 w3 =   0.0030 w2 =   0.0017 w1 =   0.0063 w0 =  -0.2794 Iteration 2298: Error Rate = 5.38%
Training weights: w5 =   0.0075 w4 =   0.0201 w3 =   0.0034 w2 =   0.0027 w1 =   0.0059 w0 =  -0.2794 Iteration 2299: Error Rate = 4.00%
Training weights: w5 =   0.0068 w4 =   0.0185 w3 =   0.0037 w2 =   0.0023 w1 =   0.0066 w0 =  -0.2796 Iteration 2300: Error Rate = 4.75%
Training weights: w5 =   0.0065 w4 =   0.0194 w3 =   0.0047 w2 =   0.0031 w1 =   0.0072 w0 =  -0.2796 Iteration 2301: Error Rate = 4.50%
Training weights: w5 =   0.0061 w4 =   0.0195 w3 =   0.0035 w2 =   0.0030 w1 =   0.0053 w0 =  -0.2798 Iteration 2302: Error Rate = 6.75%
Training weights: w5 =   0.0065 w4 =   0.0193 w3 =   0.0032 w2 =   0.0019 w1 =   0.0066 w0 =  -0.2799 Iteration 2303: Error Rate = 5.12%
Training weights: w5 =   0.0072 w4 =   0.0188 w3 =   0.0032 w2 =   0.0021 w1 =   0.0065 w0 =  -0.2800 Iteration 2304: Error Rate = 5.12%
Training weights: w5 =   0.0061 w4 =   0.0200 w3 =   0.0041 w2 =   0.0011 w1 =   0.0062 w0 =  -0.2801 Iteration 2305: Error Rate = 6.38%
Training weights: w5 =   0.0080 w4 =   0.0200 w3 =   0.0043 w2 =   0.0025 w1 =   0.0067 w0 =  -0.2801 Iteration 2306: Error Rate = 4.00%
Training weights: w5 =   0.0074 w4 =   0.0180 w3 =   0.0020 w2 =   0.0011 w1 =   0.0056 w0 =  -0.2804 Iteration 2307: Error Rate = 4.12%
Training weights: w5 =   0.0058 w4 =   0.0202 w3 =   0.0032 w2 =   0.0011 w1 =   0.0061 w0 =  -0.2804 Iteration 2308: Error Rate = 6.25%
Training weights: w5 =   0.0069 w4 =   0.0197 w3 =   0.0031 w2 =   0.0021 w1 =   0.0062 w0 =  -0.2805 Iteration 2309: Error Rate = 5.62%
Training weights: w5 =   0.0064 w4 =   0.0195 w3 =   0.0023 w2 =   0.0027 w1 =   0.0064 w0 =  -0.2806 Iteration 2310: Error Rate = 4.38%
Training weights: w5 =   0.0068 w4 =   0.0194 w3 =   0.0029 w2 =   0.0022 w1 =   0.0059 w0 =  -0.2807 Iteration 2311: Error Rate = 4.88%
Training weights: w5 =   0.0073 w4 =   0.0190 w3 =   0.0030 w2 =   0.0015 w1 =   0.0065 w0 =  -0.2808 Iteration 2312: Error Rate = 4.62%
Training weights: w5 =   0.0075 w4 =   0.0196 w3 =   0.0030 w2 =   0.0025 w1 =   0.0046 w0 =  -0.2809 Iteration 2313: Error Rate = 7.12%
Training weights: w5 =   0.0067 w4 =   0.0193 w3 =   0.0024 w2 =   0.0025 w1 =   0.0066 w0 =  -0.2810 Iteration 2314: Error Rate = 4.62%
Training weights: w5 =   0.0057 w4 =   0.0197 w3 =   0.0034 w2 =   0.0027 w1 =   0.0054 w0 =  -0.2811 Iteration 2315: Error Rate = 4.62%
Training weights: w5 =   0.0059 w4 =   0.0183 w3 =   0.0028 w2 =   0.0024 w1 =   0.0049 w0 =  -0.2813 Iteration 2316: Error Rate = 5.00%
Training weights: w5 =   0.0071 w4 =   0.0203 w3 =   0.0048 w2 =   0.0015 w1 =   0.0075 w0 =  -0.2812 Iteration 2317: Error Rate = 6.88%
Training weights: w5 =   0.0062 w4 =   0.0212 w3 =   0.0022 w2 =   0.0020 w1 =   0.0057 w0 =  -0.2813 Iteration 2318: Error Rate = 4.12%
Training weights: w5 =   0.0063 w4 =   0.0215 w3 =   0.0039 w2 =   0.0030 w1 =   0.0058 w0 =  -0.2813 Iteration 2319: Error Rate = 3.75%
Training weights: w5 =   0.0061 w4 =   0.0188 w3 =   0.0047 w2 =   0.0018 w1 =   0.0063 w0 =  -0.2816 Iteration 2320: Error Rate = 5.62%
Training weights: w5 =   0.0068 w4 =   0.0194 w3 =   0.0037 w2 =   0.0022 w1 =   0.0061 w0 =  -0.2816 Iteration 2321: Error Rate = 3.50%
Training weights: w5 =   0.0070 w4 =   0.0189 w3 =   0.0033 w2 =   0.0022 w1 =   0.0068 w0 =  -0.2817 Iteration 2322: Error Rate = 4.62%
Training weights: w5 =   0.0072 w4 =   0.0183 w3 =   0.0028 w2 =   0.0030 w1 =   0.0061 w0 =  -0.2818 Iteration 2323: Error Rate = 3.38%
Training weights: w5 =   0.0069 w4 =   0.0204 w3 =   0.0032 w2 =   0.0032 w1 =   0.0069 w0 =  -0.2817 Iteration 2324: Error Rate = 2.62%
Training weights: w5 =   0.0066 w4 =   0.0192 w3 =   0.0040 w2 =   0.0027 w1 =   0.0059 w0 =  -0.2819 Iteration 2325: Error Rate = 5.50%
Training weights: w5 =   0.0063 w4 =   0.0202 w3 =   0.0026 w2 =   0.0019 w1 =   0.0061 w0 =  -0.2820 Iteration 2326: Error Rate = 7.88%
Training weights: w5 =   0.0060 w4 =   0.0186 w3 =   0.0028 w2 =   0.0012 w1 =   0.0069 w0 =  -0.2822 Iteration 2327: Error Rate = 5.50%
Training weights: w5 =   0.0063 w4 =   0.0196 w3 =   0.0039 w2 =   0.0024 w1 =   0.0061 w0 =  -0.2822 Iteration 2328: Error Rate = 4.00%
Training weights: w5 =   0.0063 w4 =   0.0195 w3 =   0.0033 w2 =   0.0020 w1 =   0.0068 w0 =  -0.2823 Iteration 2329: Error Rate = 4.88%
Training weights: w5 =   0.0068 w4 =   0.0190 w3 =   0.0035 w2 =   0.0021 w1 =   0.0064 w0 =  -0.2824 Iteration 2330: Error Rate = 3.88%
Training weights: w5 =   0.0063 w4 =   0.0200 w3 =   0.0039 w2 =   0.0027 w1 =   0.0064 w0 =  -0.2824 Iteration 2331: Error Rate = 4.75%
Training weights: w5 =   0.0071 w4 =   0.0193 w3 =   0.0030 w2 =   0.0034 w1 =   0.0058 w0 =  -0.2825 Iteration 2332: Error Rate = 3.12%
Training weights: w5 =   0.0063 w4 =   0.0184 w3 =   0.0030 w2 =   0.0026 w1 =   0.0064 w0 =  -0.2827 Iteration 2333: Error Rate = 6.50%
Training weights: w5 =   0.0062 w4 =   0.0185 w3 =   0.0028 w2 =   0.0024 w1 =   0.0057 w0 =  -0.2828 Iteration 2334: Error Rate = 4.88%
Training weights: w5 =   0.0063 w4 =   0.0202 w3 =   0.0028 w2 =   0.0025 w1 =   0.0058 w0 =  -0.2828 Iteration 2335: Error Rate = 6.25%
Training weights: w5 =   0.0066 w4 =   0.0193 w3 =   0.0035 w2 =   0.0024 w1 =   0.0070 w0 =  -0.2829 Iteration 2336: Error Rate = 4.12%
Training weights: w5 =   0.0078 w4 =   0.0189 w3 =   0.0028 w2 =   0.0016 w1 =   0.0055 w0 =  -0.2831 Iteration 2337: Error Rate = 7.25%
Training weights: w5 =   0.0061 w4 =   0.0190 w3 =   0.0034 w2 =   0.0016 w1 =   0.0071 w0 =  -0.2832 Iteration 2338: Error Rate = 6.38%
Training weights: w5 =   0.0063 w4 =   0.0196 w3 =   0.0024 w2 =   0.0023 w1 =   0.0058 w0 =  -0.2833 Iteration 2339: Error Rate = 5.88%
Training weights: w5 =   0.0072 w4 =   0.0192 w3 =   0.0025 w2 =   0.0029 w1 =   0.0054 w0 =  -0.2834 Iteration 2340: Error Rate = 4.88%
Training weights: w5 =   0.0068 w4 =   0.0202 w3 =   0.0022 w2 =   0.0019 w1 =   0.0055 w0 =  -0.2835 Iteration 2341: Error Rate = 7.38%
